,bacen_code,nm_serie,unit,periodicity,source,special
0,1,Taxa de câmbio - Livre - Dólar americano (venda) - diário,u.m.c./US$,D,Sisbacen PTAX800,N
1,3,Taxa de câmbio - Flutuante - Dólar turismo - Venda,u.m.c./US$,D,Sisbacen PTAX800,N
2,4,Ouro BM&F - grama,u.m.c.,D,BM&FBOVESPA,N
3,5,Ouro Londres - onça troy,US$,D,LBMA,N
4,7,Bovespa - índice,Pontos,D,BM&FBOVESPA,N
5,8,Bovespa - Volume,R$ (milhões),D,BM&FBOVESPA,N
6,9,BVRJ - índice,Pontos,D,BVRJ,N
7,10,BVRJ - Volume,u.m.c. (mil),D,BVRJ,N
8,11,Taxa de juros - Selic,% a.d.,D,BCB-Demab,N
9,12,Taxa de juros - CDI,% a.d.,D,Cetip,N
10,13,Unidade real de valor (URV),u.m.c.,D,Sisbacen PTAX860,N
11,14,Taxa média prefixada de depósitos a prazo (CDB/RDB) - Total,% a.d.,D,Sisbacen PESP300,N
12,15,Saldo prefixado de depósitos a prazo (CDB/RDB) - Total,u.m.c. (mil),D,Sisbacen PESP300,N
13,16,Depósitos a prazo (CDB/RDB-pré-fixados) - Dias corridos em período de 30/35 dias,Dias,D,Sisbacen PESP300,N
14,17,Depósitos a prazo (CDB/RDB-pré-fixados) - Dias úteis em período de 30/35 dias,Dias,D,Sisbacen PESP300,N
15,18,Taxa média pós-fixada de depósitos a prazo (CDB/RDB) - Total,% a.d.,D,Sisbacen PESP300,N
16,19,Saldo pós-fixado de depósitos a prazo (CDB/RDB) - Total,u.m.c. (mil),D,Sisbacen PESP300,N
17,20,Depósitos a prazo (CDB/RDB-pós-fixados) - Dias corridos em período de 120/125 dias,Dias,D,Sisbacen PESP300,N
18,21,Depósitos a prazo (CDB/RDB-pós-fixados) - Dias úteis em período de 120/125 dias,Dias,D,Sisbacen PESP300,N
19,22,BTN/UFIR diária,A definir,D,Sisbacen PTAX860,N
20,23,Saldo diário de depósitos de poupança - SBPE e rural,u.m.c. (mil),D,Sisbacen PESP300,N
21,24,Captação líquida diária de depósitos de poupança - SBPE e rural,u.m.c. (mil),D,Sisbacen PESP300,N
22,25,Depósitos de poupança até 03.05.2012 - Rentabilidade no período,% a.m.,D,BCB-Demab,S
23,26,Taxa média prefixada de depósitos a prazo (CDB/RDB) - Instituições financeiras,% a.d.,D,Sisbacen PESP300,N
24,27,Saldo prefixado de depósitos a prazo (CDB/RDB) - Instituições financeiras,u.m.c. (mil),D,Sisbacen PESP300,N
25,28,Taxa média prefixada de depósitos a prazo (CDB/RDB) - Investidores institucionais,% a.d.,D,Sisbacen PESP300,N
26,29,Saldo prefixado de depósitos a prazo (CDB/RDB) - Investidores institucionais,u.m.c. (mil),D,Sisbacen PESP300,N
27,30,Taxa média prefixada de depósitos a prazo (CDB/RDB) - Pessoas jurídicas,% a.d.,D,Sisbacen PESP300,N
28,31,Saldo prefixado de depósitos a prazo (CDB/RDB) - Pessoas jurídicas,u.m.c. (mil),D,Sisbacen PESP300,N
29,32,Taxa média prefixada de depósitos a prazo (CDB/RDB) - Pessoas fíisicas,% a.d.,D,Sisbacen PESP300,N
30,33,Saldo prefixado de depósitos a prazo (CDB/RDB) - Pessoas físicas,u.m.c. (mil),D,Sisbacen PESP300,N
31,34,Taxa média pós-fixada de depósitos a prazo (CDB/RDB) - Instituições financeiras,% a.d.,D,Sisbacen PESP300,N
32,35,Saldo pós-fixado de depósitos a prazo (CDB/RDB) - Instituições financeiras,u.m.c. (mil),D,Sisbacen PESP300,N
33,36,Taxa média pós-fixada de depósitos a prazo (CDB/RDB) - Investidores institucionais,% a.d.,D,Sisbacen PESP300,N
34,37,Saldo pós-fixado de depósitos a prazo (CDB/RDB) - Investidores institucionais,u.m.c. (mil),D,Sisbacen PESP300,N
35,38,Taxa média pós-fixada de depósitos a prazo (CDB/RDB) - Pessoas jurídicas,% a.d.,D,Sisbacen PESP300,N
36,39,Saldo pós-fixado de depósitos a prazo (CDB/RDB) - Pessoas jurídicas,u.m.c. (mil),D,Sisbacen PESP300,N
37,40,Taxa média pós-fixada de depósitos a prazo (CDB/RDB) - Pessoas físicas,% a.d.,D,Sisbacen PESP300,N
38,41,Saldo pós-fixado de depósitos a prazo (CDB/RDB) - Pessoas físicas,u.m.c. (mil),D,Sisbacen PESP300,N
39,42,Fundo de aplicações financeiras - Patrimônio líquido,u.m.c. (mil),D,Sisbacen PFAF300,N
40,43,Fundo de aplicações financeiras - Captação líquida,u.m.c. (mil),D,Sisbacen PFAF300,N
41,44,Fundo de aplicações financeiras - Rentabilidade diária (%),% a.d.,D,Sisbacen PFAF300,N
42,45,Fundo de comodities - Patrimônio líquido,u.m.c. (mil),D,Sisbacen PESP300,N
43,46,Fundo de comodities - Captação líquida,u.m.c. (mil),D,Sisbacen PESP300,N
44,47,Fundo de comodities - Rentabilidade diária (%),% a.d.,D,Sisbacen PESP300,N
45,48,Fundo mútuo de renda fixa - Patrimônio líquido,u.m.c. (mil),D,Sisbacen PESP300,N
46,49,Fundo mútuo de renda fixa - Captação líquida,u.m.c. (mil),D,Sisbacen PESP300,N
47,50,Fundo mútuo de renda fixa - Rentabilidade diária (%),% a.d.,D,Sisbacen PESP300,N
48,51,Fundo de ações-carteira livre - Patrimônio líquido,u.m.c. (mil),D,Sisbacen PESP300,N
49,52,Fundo de ações-carteira livre - Captação líquida,u.m.c. (mil),D,Sisbacen PESP300,N
50,53,Fundo de ações-carteira livre - Rentabilidade diária (%),% a.d.,D,Sisbacen PESP300,N
51,54,Fundo de ações-tradicional - Patrimônio líquido,u.m.c. (mil),D,Sisbacen PESP300,N
52,55,Fundo de ações-tradicional - Captação líquida,u.m.c. (mil),D,Sisbacen PESP300,N
53,56,Fundo de ações-tradicional - Rentabilidade diária (%),% a.d.,D,Sisbacen PESP300,N
54,57,Depósitos especiais remunerados - Saldos,u.m.c. (mil),D,Sisbacen PDER300,N
55,58,Depósitos especiais remunerados - Resgates,u.m.c. (mil),D,Sisbacen PDER300,N
56,59,Depósitos especiais remunerados - Rentabilidade diária (%),% a.d.,D,Sisbacen PDER300,N
57,60,Fundo de renda fixa-capital estrangeiro - Patrimônio líquido,u.m.c. (mil),D,Sisbacen PESP300,N
58,61,Fundo de renda fixa-capital estrangeiro - Rentabilidade diária (%),% a.d.,D,Sisbacen PESP300,N
59,63,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Hot money - Taxa total,% a.d.,D,Sisbacen PESP300,N
60,64,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Hot money,u.m.c. (mil),D,Sisbacen PESP300,N
61,67,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de duplicatas - Taxa total,% a.d.,D,Sisbacen PESP300,N
62,68,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de duplicatas,u.m.c. (mil),D,Sisbacen PESP300,N
63,69,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de notas promissórias - Taxa total,% a.d.,D,Sisbacen PESP300,N
64,70,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Desconto de notas promissórias,u.m.c. (mil),D,Sisbacen PESP300,N
65,73,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Capital de giro - Taxa total,% a.d.,D,Sisbacen PESP300,N
66,74,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Capital de giro,u.m.c. (mil),D,Sisbacen PESP300,N
67,75,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Capital de giro - Taxa total,% a.d.,D,Sisbacen PESP300,N
68,76,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Capital de giro,u.m.c. (mil),D,Sisbacen PESP300,N
69,77,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Conta garantida - Taxa total,% a.d.,D,Sisbacen PESP300,N
70,78,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Conta garantida,u.m.c. (mil),D,Sisbacen PESP300,N
71,79,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Conta garantida - Taxa total,% a.d.,D,Sisbacen PESP300,N
72,80,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Conta garantida,u.m.c. (mil),D,Sisbacen PESP300,N
73,81,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Aquisição de bens - Pessoa jurídica - Taxa total,% a.d.,D,Sisbacen PESP300,N
74,82,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Aquisição de bens - Pessoa jurídica,u.m.c. (mil),D,Sisbacen PESP300,N
75,83,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Aquisição de bens - Pessoa jurídica - Taxa total,% a.d.,D,Sisbacen PESP300,N
76,84,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Aquisição de bens - Pessoa jurídica,u.m.c. (mil),D,Sisbacen PESP300,N
77,85,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Vendor - Taxa total,% a.d.,D,Sisbacen PESP300,N
78,86,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Vendor,u.m.c. (mil),D,Sisbacen PESP300,N
79,87,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Vendor - Taxa total,% a.d.,D,Sisbacen PESP300,N
80,88,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Vendor,u.m.c. (mil),D,Sisbacen PESP300,N
81,89,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Adiantamento sobre contrato de câmbio (ACC) - Taxa total,% a.d.,D,Sisbacen PESP300,N
82,90,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Adiantamento sobre contrato de câmbio (ACC),u.m.c. (mil),D,Sisbacen PESP300,N
83,91,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Export notes - Taxa total,% a.d.,D,Sisbacen PESP300,N
84,92,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Export notes,u.m.c. (mil),D,Sisbacen PESP300,N
85,93,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Repasses externos - Taxa total,% a.d.,D,Sisbacen PESP300,N
86,94,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Repasses externos,u.m.c. (mil),D,Sisbacen PESP300,N
87,95,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Cheque especial - Taxa total,% a.d.,D,Sisbacen PESP300,N
88,96,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Cheque especial,u.m.c. (mil),D,Sisbacen PESP300,N
89,97,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Cheque especial - Taxa total,% a.d.,D,Sisbacen PESP300,N
90,98,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Cheque especial,u.m.c. (mil),D,Sisbacen PESP300,N
91,99,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Crédito pessoal - Taxa total,% a.d.,D,Sisbacen PESP300,N
92,100,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Crédito pessoal,u.m.c. (mil),D,Sisbacen PESP300,N
93,101,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Crédito pessoal - Taxa total,% a.d.,D,Sisbacen PESP300,N
94,102,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Crédito pessoal,u.m.c. (mil),D,Sisbacen PESP300,N
95,103,Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Aquisição de outros bens - Pessoa física - Taxa total,% a.d.,D,Sisbacen PESP300,N
96,104,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Aquisição de outros bens - Pessoa física,u.m.c. (mil),D,Sisbacen PESP300,N
97,105,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Aquisição de outros bens - Pessoa física - Taxa total,% a.d.,D,Sisbacen PESP300,N
98,106,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Aquisição de outros bens - Pessoa física,u.m.c. (mil),D,Sisbacen PESP300,N
99,108,BTN/UFIR mensal,u.m.c.,M,Sisbacen PTAX860,N
100,109,Fundo de aplicações financeiras - Aplicações em depósitos obrigatórios,u.m.c. (mil),M,Sisbacen PFAF300,N
101,110,Fundo de aplicações financeiras - Aplicações em depósitos inst. títulos TDE,u.m.c. (mil),M,Sisbacen PFAF300,N
102,111,Fundo de aplicações financeiras - Aplicações em operações compromissadas,u.m.c. (mil),M,Sisbacen PFAF300,N
103,112,Fundo de aplicações financeiras - Aplicações em quotas fundos desenvolvimento social,u.m.c. (mil),M,Sisbacen PFAF300,N
104,113,Fundo de aplicações financeiras - Aplicações em títulos do Tesouro Nacional,u.m.c. (mil),M,Sisbacen PFAF300,N
105,114,Fundo de aplicações financeiras - Aplicações em títulos estaduais ou municipais,u.m.c. (mil),M,Sisbacen PFAF300,N
106,115,Fundo de aplicações financeiras - Aplicações em títulos privados,u.m.c. (mil),M,Sisbacen PFAF300,N
107,116,Fundo de aplicações financeiras - Aplicações em títulos de desenvolvimento econômico,u.m.c. (mil),M,Sisbacen PFAF300,N
108,117,Fundo de aplicações financeiras - Aplicações em títulos vinculados a projetos agrícolas,u.m.c. (mil),M,Sisbacen PFAF300,N
109,118,Fundo de aplicações financeiras - Aplicações em letras hipotecárias,u.m.c. (mil),M,Sisbacen PFAF300,N
110,119,Fundo de comodities - Aplicações em export notes,u.m.c. (mil),M,Sisbacen PESP300,N
111,120,Fundo de comodities - Aplicações em CDB/RDB,u.m.c. (mil),M,Sisbacen PESP300,N
112,121,Fundo de comodities - Aplicações em Warrants,u.m.c. (mil),M,Sisbacen PESP300,N
113,122,Fundo de comodities - Aplicações em certificados de mercadorias,u.m.c. (mil),M,Sisbacen PESP300,N
114,123,Fundo de comodities - Aplicações em títulos federais,u.m.c. (mil),M,Sisbacen PESP300,N
115,124,Fundo de comodities - Aplicações em títulos estaduais ou municipais,u.m.c. (mil),M,Sisbacen PESP300,N
116,125,Fundo de comodities - Aplicações em títulos privados,u.m.c. (mil),M,Sisbacen PESP300,N
117,126,Fundo de comodities - Aplicações em quotas FAF,u.m.c. (mil),M,Sisbacen PESP300,N
118,127,Fundo de comodities - Aplicações em notas promissórias,u.m.c. (mil),M,Sisbacen PESP300,N
119,128,Fundo de comodities - Aplicações em ações,u.m.c. (mil),M,Sisbacen PESP300,N
120,129,Fundo de comodities - Aplicações em ouro,u.m.c. (mil),M,Sisbacen PESP300,N
121,130,Fundo mútuo de renda fixa - Aplicações em títulos do Tesouro Nacional,u.m.c. (mil),M,Sisbacen PESP300,N
122,131,Fundo mútuo de renda fixa - Aplicações em títulos do Banco Central,u.m.c. (mil),M,Sisbacen PESP300,N
123,132,Fundo mútuo de renda fixa - Aplicações em títulos estaduais e municipais,u.m.c. (mil),M,Sisbacen PESP300,N
124,133,Fundo mútuo de renda fixa - Aplicações em ações,u.m.c. (mil),M,Sisbacen PESP300,N
125,134,Fundo mútuo de renda fixa - Aplicações em debêntures,u.m.c. (mil),M,Sisbacen PESP300,N
126,135,Fundo mútuo de renda fixa - Aplicações em títulos privados,u.m.c. (mil),M,Sisbacen PESP300,N
127,136,Fundo mútuo de renda fixa - Aplicações em juros do mercado futuro,u.m.c. (mil),M,Sisbacen PESP300,N
128,137,Fundo mútuo de renda fixa - Aplicações em quotas de fundos,u.m.c. (mil),M,Sisbacen PESP300,N
129,138,Fundo mútuo de renda fixa - Aplicações em operações compromissadas,u.m.c. (mil),M,Sisbacen PESP300,N
130,139,Fundo mútuo de renda fixa - Outras aplicações,u.m.c. (mil),M,Sisbacen PESP300,N
131,140,Fundo de ações-tradicional - Aplicações em títulos do Tesouro Nacional,u.m.c. (mil),M,Sisbacen PESP300,N
132,141,Fundo de ações-tradicional - Aplicações em títulos do Banco Central,u.m.c. (mil),M,Sisbacen PESP300,N
133,142,Fundo de ações-tradicional - Aplicações em títulos estaduais e municipais,u.m.c. (mil),M,Sisbacen PESP300,N
134,143,Fundo de ações-tradicional - Aplicações em índices de ações,u.m.c. (mil),M,Sisbacen PESP300,N
135,144,Fundo de ações-tradicional - Aplicações em ações,u.m.c. (mil),M,Sisbacen PESP300,N
136,145,Fundo de ações-tradicional - Aplicações em debêntures,u.m.c. (mil),M,Sisbacen PESP300,N
137,146,Fundo de ações-tradicional - Aplicações em títulos privados,u.m.c. (mil),M,Sisbacen PESP300,N
138,147,Fundo de ações-tradicional - Aplicações em quotas de fundos,u.m.c. (mil),M,Sisbacen PESP300,N
139,148,Fundo de ações-tradicional - Outras aplicações,u.m.c. (mil),M,Sisbacen PESP300,N
140,149,Fundo de ações-carteira livre - Aplicações em títulos do Tesouro Nacional,u.m.c. (mil),M,Sisbacen PESP300,N
141,150,Fundo de ações-carteira livre - Aplicações em títulos do Banco Central,u.m.c. (mil),M,Sisbacen PESP300,N
142,151,Fundo de ações-carteira livre - Aplicações em títulos estaduais e municipais,u.m.c. (mil),M,Sisbacen PESP300,N
143,152,Fundo de ações-carteira livre - Aplicações em índices de ações,u.m.c. (mil),M,Sisbacen PESP300,N
144,153,Fundo de ações-carteira livre - Aplicações em ações,u.m.c. (mil),M,Sisbacen PESP300,N
145,154,Fundo de ações-carteira livre - Aplicações em debêntures,u.m.c. (mil),M,Sisbacen PESP300,N
146,155,Fundo de ações-carteira livre - Aplicações em títulos privados,u.m.c. (mil),M,Sisbacen PESP300,N
147,156,Fundo de ações-carteira livre - Aplicações em quotas de fundos,u.m.c. (mil),M,Sisbacen PESP300,N
148,157,Fundo de ações-carteira livre - Outras aplicações,u.m.c. (mil),M,Sisbacen PESP300,N
149,158,Fundo de investimento-capital estrangeiro - Aplicações em títulos do Tesouro Nacional,u.m.c. (mil),M,Sisbacen PESP300,N
150,159,Fundo de investimento-capital estrangeiro - Aplicações em títulos do Banco Central,u.m.c. (mil),M,Sisbacen PESP300,N
151,160,Fundo de investimento-capital estrangeiro - Aplicações em títulos estaduais e municipais,u.m.c. (mil),M,Sisbacen PESP300,N
